 ﻿ㄅ
ㄛ ㄛ
㒖 㒖
䇦 䇦
㸸 㸸
㻞 㻞
㴖 㴖
㐅 㐅
㐤 㐤
㐡 㐡
㐀 㐀
㐁 㐁
𠹌 𠹌
𠅗 𠅗
ㄓ ㄓ
○ ○
兀 兀
嗀 嗀
一 一
一 一一
一 一丁不識
一 一丁點
一 一丁點兒
一 一丈
一 一上來
一 一上去
一 一上台
一 一上場
一 一下
一 一下下
一 一下來
一 一下去
一 一下台
一 一下場
一 一下子
一 一不
一 一不做二不休
一 一不小心
一 一不注意
一 一世
一 一世紀
一 一世英名
一 一丘之貉
一 一丙
一 一中
一 一串
一 一串串
一 一九九一
一 一九九七
一 一九九三
一 一九九九
一 一九九二
一 一九九五
一 一九九八
一 一九九六
一 一九九四
一 一乾二淨
一 一了百了
一 一了百當
一 一事
一 一事無成
一 一二八事變
一 一五
一 一五一十
一 一些
一 一些些
一 一人
一 一人份
一 一人傳虛
一 一介
一 一介不取
一 一仗
一 一付
一 一代
一 一代不如一代
一 一代代
一 一代巨擘
一 一代新人換舊人
一 一代英豪
一 一代豪傑
一 一以貫之
一 一件
一 一件事
一 一任
一 一份
一 一伍
一 一伙
一 一伙人
一 一似
一 一位
一 一位數
一 一住
一 一佛出世
一 一併
一 一併處理
一 一來
一 一來一往
一 一來到
一 一例
一 一信
一 一個
一 一個人
一 一個個
一 一個勁兒
一 一個巴掌拍不響
一 一個接一個
一 一個月
一 一個樣
一 一個蘿蔔一個坑
一 一個頭兩個大
一 一個鼻孔
一 一倍
一 一倡三歎
一 一倡百和
一 一偏
一 一做
一 一做到
一 一停
一 一側
一 一傳十
一 一億
一 一億人
一 一億元
一 一元
一 一元化
一 一元復始
一 一元方程
一 一元方程式
一 一元說
一 一元論
一 一兆
一 一兆元
一 一克
一 一內一外
一 一兩
一 一共
一 一共是
一 一兵
一 一兵一卒
一 一具
一 一冊
一 一再
一 一再叮嚀
一 一再的
一 一准
一 一出
一 一出來
一 一出去
一 一出場
一 一刀
一 一刀兩斷
一 一分
一 一分一秒
一 一分子
一 一分收獲
一 一分收穫
一 一分為二
一 一分耕耘
一 一分錢
一 一分錢一分貨
一 一分鐘
一 一切
一 一切從簡
一 一切都
一 一切都在
一 一切都是
一 一划
一 一別
一 一別多年
一 一到
一 一券
一 一刻
一 一刻千金
一 一則
一 一則以喜
一 一則以憂
一 一前
一 一前一後
一 一剎那
一 一副
一 一割
一 一劃
一 一劑
一 一加侖
一 一動
一 一動不動
一 一動不如一靜
一 一勞永逸
一 一包
一 一匙
一 一匙之量
一 一匹
一 一區
一 一千
一 一千人
一 一千個
一 一千元
一 一千塊
一 一千萬
一 一千零一
一 一千零一夜
一 一半
一 一去
一 一去不回
一 一去不回頭
一 一去不復
一 一去不復返
一 一去不返
一 一反常態
一 一口
一 一口咬定
一 一口氣
一 一口飯
一 一古腦兒
一 一句
一 一句話
一 一只
一 一台
一 一吋
一 一同
一 一名
一 一吐
一 一吐為快
一 一向
一 一向是
一 一告
一 一呎
一 一周
